table_name,record_id,metric_key,module,current_label,current_value,frontend_text_found,frontend_file_path,recommended_label,confidence_level,reason,requires_review,possible_risk
public.ingestion_data,0d285ae9-e54d-4270-a2fb-f513e252b4a7,gp_modules_gp_views_gp_mockups_001,gp,"$6,047,500","$6,047,500",Total Capital Raise (LP),modules/Gp/views/gp mockups.html,Total Capital Raise (LP),high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,fa9cbc0b-f150-44a9-848c-8c8e09c02a60,gp_modules_gp_views_gp_mockups_002,gp,"$2,530,000","$2,530,000",PPC Sponsor Groups,modules/Gp/views/gp mockups.html,PPC Sponsor Groups,high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,7215834e-6785-4bd1-a34b-3c73daab9fbd,gp_modules_gp_views_gp_mockups_003,gp,35%,35%,GP / LP Share,modules/Gp/views/gp mockups.html,GP / LP Share,high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,3eb60d8d-45c7-49c8-b5eb-d4325a025dee,gp_modules_gp_views_gp_mockups_004,gp,65%,65%,GP / LP Share,modules/Gp/views/gp mockups.html,GP / LP Share,high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,a5a1a67b-ece5-483a-ae77-b7d3d463bace,gp_modules_gp_views_gp_mockups_005,gp,"$400,000","$400,000",Total Capital Raise (LP),modules/Gp/views/gp mockups.html,Total Capital Raise (LP),high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,ca9a8b04-386e-48f2-a242-20774cecaa74,gp_modules_gp_views_gp_mockups_006,gp,2.3150%,2.3150%,VCP + Partners (Virendra Patel Group),modules/Gp/views/gp mockups.html,VCP + Partners (Virendra Patel Group),high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,e9d17c43-35ae-49c5-868e-712ebdd55768,gp_modules_gp_views_gp_mockups_007,gp,"$6,528","$6,528",PPC Sponsor Groups (6 GPs),modules/Gp/views/gp mockups.html,PPC Sponsor Groups (6 GPs),high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,de7db443-378f-4f86-9880-0aea1a1500d4,gp_modules_gp_views_gp_mockups_008,gp,"$660,000","$660,000",GP Carve Out (Project Interest),modules/Gp/views/gp mockups.html,GP Carve Out (Project Interest),high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,b1fbfcb1-5bbe-49c3-a87a-7e949838d457,gp_modules_gp_views_gp_mockups_009,gp,3.8198%,3.8198%,LP Share of Project,modules/Gp/views/gp mockups.html,LP Share of Project,high,Derived from the nearest visible card/detail label.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,048e56eb-93bc-4f91-97a3-a2942fdc66d7,gp_modules_gp_views_gp_mockups_010,gp,"$10,772","$10,772",Anne Santos | Capital Raised,modules/Gp/views/gp mockups.html,Anne Santos | Capital Raised,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,f910272a-0124-4dee-965f-cdad2fa7f951,gp_modules_gp_views_gp_mockups_011,gp,"$350,000","$350,000",Anne Santos | GP Project %,modules/Gp/views/gp mockups.html,Anne Santos | GP Project %,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,d1ef5308-5e0e-4391-aa60-d0433ed131b6,gp_modules_gp_views_gp_mockups_012,gp,2.0256%,2.0256%,Anne Santos | Est. Acq. Fee,modules/Gp/views/gp mockups.html,Anne Santos | Est. Acq. Fee,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,e4fa190d-f103-4f90-95cd-70f22f45ecdb,gp_modules_gp_views_gp_mockups_013,gp,"$5,712","$5,712",Jeanine Witten | Capital Raised,modules/Gp/views/gp mockups.html,Jeanine Witten | Capital Raised,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,d44875ca-6739-49cb-97cc-227e3e76ba77,gp_modules_gp_views_gp_mockups_014,gp,"$410,000","$410,000",Jeanine Witten | GP Project %,modules/Gp/views/gp mockups.html,Jeanine Witten | GP Project %,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,efafb332-5fd9-4a34-b9ac-569df7466744,gp_modules_gp_views_gp_mockups_015,gp,2.3729%,2.3729%,Jeanine Witten | Est. Acq. Fee,modules/Gp/views/gp mockups.html,Jeanine Witten | Est. Acq. Fee,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,dec8fd34-faec-4c33-81f5-6ee71a76dbcc,gp_modules_gp_views_gp_mockups_016,gp,"$6,692","$6,692",Giulianna Pino | Capital Raised,modules/Gp/views/gp mockups.html,Giulianna Pino | Capital Raised,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,ab17f2f1-8cb7-46af-984e-01799a785af2,gp_modules_gp_views_gp_mockups_017,gp,"$460,000","$460,000",Giulianna Pino | GP Project %,modules/Gp/views/gp mockups.html,Giulianna Pino | GP Project %,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,3d40e380-2c10-474e-9028-e345413ba8b2,gp_modules_gp_views_gp_mockups_018,gp,2.6623%,2.6623%,Giulianna Pino | Est. Acq. Fee,modules/Gp/views/gp mockups.html,Giulianna Pino | Est. Acq. Fee,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,cbd56b21-f21a-4791-afc5-dfe64268f2b9,gp_modules_gp_views_gp_mockups_019,gp,"$7,508","$7,508",Vinod Malik | Capital Raised,modules/Gp/views/gp mockups.html,Vinod Malik | Capital Raised,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,c2513efe-1e26-4707-a766-091ccc55a722,gp_modules_gp_views_gp_mockups_020,gp,"$250,000","$250,000",Vinod Malik | GP Project %,modules/Gp/views/gp mockups.html,Vinod Malik | GP Project %,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,d0248139-0947-493d-b163-fa2c48d29e5a,gp_modules_gp_views_gp_mockups_021,gp,1.4469%,1.4469%,Vinod Malik | Est. Acq. Fee,modules/Gp/views/gp mockups.html,Vinod Malik | Est. Acq. Fee,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,c0f5b5fb-2850-4dfa-957e-fa8f839381ab,gp_modules_gp_views_gp_mockups_022,gp,"$4,080","$4,080",Ayesha Khalid,modules/Gp/views/gp mockups.html,Ayesha Khalid,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,9e3f12a8-5346-401f-8dbf-b94d58eae36c,gp_modules_gp_views_gp_mockups_023,gp,"$2,530,000","$2,530,000",Ayesha Khalid,modules/Gp/views/gp mockups.html,Ayesha Khalid,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
public.ingestion_data,165012ee-da89-4aa6-881d-b5130294e9fb,gp_modules_gp_views_gp_mockups_024,gp,14.6425%,14.6425%,Ayesha Khalid,modules/Gp/views/gp mockups.html,Ayesha Khalid,high,Derived from visible table row and column headers.,false,"Low runtime risk: app logic uses metric_key, not label, for reads and updates. Medium operational risk: extract-ingestion-data.mjs regenerates label and reseeding/upsert by metric_key would overwrite manual DB changes."
