mockup_section,field,label,value,unit,drive_source,drive_address,location,notes
Header,property_name,Property Name,Oasis at San Marco,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C6,
Header,property_address,Address,"4800 Atlantic Blvd, Jacksonville, FL 32207",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C7,
Header,legal_entity,Legal Entity,Red Raider 45 LLC,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C5,
KPI,premiums_due_2026,Premiums Due (2026),99619,/yr,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C38,Escrow summary as of Feb 10 2026
KPI,insurance_escrow_balance,Escrow Balance,209799,balance,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C36,Escrow summary as of Feb 10 2026
KPI,monthly_insurance_escrow,Monthly Insurance Escrow,10486,/mo,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C35,Escrow summary as of Feb 10 2026
Chart,insurance_expense_mar_2025,Insurance - Property (6310-01),16496.85,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!Q425,
Chart,insurance_expense_apr_2025,Insurance - Property (6310-01),16496.85,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!R425,
Chart,insurance_expense_may_2025,Insurance - Property (6310-01),16496.85,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!S425,
Chart,insurance_expense_jun_2025,Insurance - Property (6310-01),16496.85,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!T425,
Chart,insurance_expense_jul_2025,Insurance - Property (6310-01),16496.85,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!U425,
Chart,insurance_expense_aug_2025,Insurance - Property (6310-01),20353.19,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!V425,
Chart,insurance_expense_sep_2025,Insurance - Property (6310-01),20353.19,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!W425,
Chart,insurance_expense_oct_2025,Insurance - Property (6310-01),20353.19,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!X425,
Chart,insurance_expense_nov_2025,Insurance - Property (6310-01),20353.19,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!Y425,
Chart,insurance_expense_dec_2025,Insurance - Property (6310-01),20353.19,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!Z425,
Chart,insurance_expense_jan_2026,Insurance - Property (6310-01),8500.00,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!AA425,
Chart,insurance_expense_feb_2026,Insurance - Property (6310-01),8500.00,/mo,Income Statement DB (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Income Statement DB!AB425,
Snapshot,total_insured_value,Total Insured Value,15216508,coverage,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C12,
Snapshot,flood_zone,Flood Zone,X,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C13,
Snapshot,distance_to_coast,Distance to Coast,13.3,miles,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C14,
Snapshot,total_insured_building_value,Total Insured Building Value,13542295,coverage,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C10,
Contacts,property_wholesale_broker,Property Wholesale Broker,"David Lamberson, CRC Group | (561) 395-0711 | dlamberson@crcgroup.com",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C21,
Contacts,retail_agent_umbrella,Retail Agent (Umbrella),"Joey Gorbacz, United Risk Mgmt (Joey@unrm.com)",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C22,
Contacts,excess_ws_agent,Excess WS Agent,"Rebecca Jones, McGowan (RJones@mcgowanwholesale.com)",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C23,
Contacts,claims_property,Claims – Property,"Boulder Claims LLC: 1-866-325-2142 / 1-866-789-4228",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C24,
PolicyRoster,property_primary_coverage,Coverage,Property – Primary Multi-Peril,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!B28,
PolicyRoster,property_primary_insurer,Insurer,"Underwriters at Lloyd's of London",,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C28,
PolicyRoster,property_primary_period,Policy Period,01/18/2026 – 01/18/2027,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!D28,
PolicyRoster,property_primary_premium,Annual Premium,40144,/yr,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!E28,
PolicyRoster,property_excess_coverage,Coverage,Property – Excess Multi-Peril,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!B29,
PolicyRoster,property_excess_insurer,Insurer,Fortegra Specialty Insurance,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C29,
PolicyRoster,property_excess_period,Policy Period,01/18/2026 – 01/18/2027,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!D29,
PolicyRoster,property_excess_premium,Annual Premium,15275.20,/yr,Renewal Invoice - Excess Property (PDF),https://drive.google.com/file/d/1g8cO3p9Y9Y5yAR5ulHTFrhFTYvnwP2CM/view,Invoice 9877: Amount Due,Insurance Overview row has blank premium; invoice provides amount due
PolicyRoster,general_liability_coverage,Coverage,General Liability,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!B30,
PolicyRoster,general_liability_insurer,Insurer,Concert Specialty Insurance Co.,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!C30,
PolicyRoster,general_liability_period,Policy Period,10/16/2025 – 10/16/2026,,Insurance Overview (New Oasis Dashboard),https://docs.google.com/spreadsheets/d/1Ncn2qzT6scuXkbtzxP0asj_7J_fKh7mE_6j2fpgUo80,Insurance Overview!D30,
