,INSURANCE DATABASE ? OASIS AT SAN MARCO
,"Red Raider 45 LLC  |  4800 Atlantic Blvd, Jacksonville, FL 32207"

,PROPERTY INFORMATION
,Legal Entity,Red Raider 45 LLC
,Property Name,Oasis at San Marco
,Address,"4800 Atlantic Blvd, Jacksonville, FL 32207"
,Property Type,Multifamily Residential (Apartments)
,Number of Buildings,10 (Buildings A?J)
,Total Insured Building Value,"$13,542,295"
,Business Income / Extra Expense,"$1,674,213"
,Total Insured Value,"$15,216,508"
,Flood Zone,X (Not in Special Flood Hazard Area)
,Distance to Coast,13.3 miles

,INSURANCE BROKER & CONTACTS
,General Liability Broker,CRC Group (Concert Specialty)
,Property Broker,ICAT / Victor Insurance Exchange (via CRC Group ? United Risk Mgmt)
,Excess Property Broker,ICAT / Fortegra Specialty Insurance
,Umbrella Broker,McGowan Wholesale / United Risk Mgmt
,Property Wholesale Broker,"David Lamberson, CRC Group | (561) 395-0711 | dlamberson@crcgroup.com"
,Retail Agent (Umbrella),"Joey Gorbacz, United Risk Mgmt (Joey@unrm.com)"
,Excess WS Agent,"Rebecca Jones, McGowan (RJones@mcgowanwholesale.com)"
,Claims ? Property,Boulder Claims LLC: 1-866-325-2142 / 1-866-789-4228

,ANNUAL PREMIUM SUMMARY
,Coverage,Insurer,Policy Period,Annual Premium
,Property ? Primary Multi-Peril,Underwriters at Lloyd's of London,01/18/2026 ? 01/18/2027,"$40,144"
,Property ? Excess Multi-Peril,Fortegra Specialty Insurance,01/18/2026 ? 01/18/2027
,General Liability,Concert Specialty Insurance Co.,10/16/2025 ? 10/16/2026,"$15,275"
,Umbrella / Excess Liability,Evanston Insurance Company,01/18/2026 ? 10/19/2026,"$13,230"
,TOTAL ANNUAL PREMIUMS,,,"$68,649"

,"ESCROW SUMMARY (as of Feb 10, 2026)"
,Monthly Escrow (Going Forward),"$10,486"
,"Escrow Balance ? Feb 10, 2026","$209,799"
,2025 Insurance Payments Already Made,"$9,276"
,2026 Premiums Due,"$99,619"
,Insurance Overpayment in Escrow,"$119,456"
